[2026-03-24 15:49:35] Bateria: 42% | Lat: -5.0892 | Lon: -42.8019
[2026-03-24 15:49:40] Bateria: 42% | Lat: -5.0892 | Lon: -42.8019
[2026-03-25 15:30:57] Bateria: N/A% | Lat: N/A | Lon: N/A
[2026-03-26 16:23:36] Bateria: N/A% | Lat: N/A | Lon: N/A
[2026-03-26 16:23:52] Bateria: N/A% | Lat: N/A | Lon: N/A
[2026-03-26 16:41:06] Bateria: 10% | Lat: -7.0709546 | Lon: -41.4452707
[2026-03-26 16:42:28] Bateria: 11% | Lat: -7.0709546 | Lon: -41.4452707
[2026-03-26 16:42:33] Bateria: 11% | Lat: -7.0709546 | Lon: -41.4452707
[2026-03-26 16:42:34] Bateria: 11% | Lat: -7.0709546 | Lon: -41.4452707
[2026-03-26 16:42:35] Bateria: 11% | Lat: -7.0709546 | Lon: -41.4452707
[2026-03-26 16:42:40] Bateria: 11% | Lat: -7.0709546 | Lon: -41.4452707
[2026-03-27 07:43:54] Bateria: 92% | Lat: -7.0823423 | Lon: -41.4355229
[2026-03-27 07:44:10] Bateria: 92% | Lat: -7.0823423 | Lon: -41.4355229
[2026-03-27 07:44:41] Bateria: 92% | Lat: -7.0823423 | Lon: -41.4355229
[2026-03-27 07:44:45] Bateria: 92% | Lat: -7.0823423 | Lon: -41.4355229
[2026-03-27 07:44:46] Bateria: 92% | Lat: -7.0823423 | Lon: -41.4355229
